id,data_inicio,status,quantidade_parcelas
555,2024-01-20,I,4
556,2024-02-13,A,6
557,2024-02-04,I,5
558,2024-01-22,I,6
559,2024-04-07,I,6
560,2024-04-01,I,4
561,2024-04-11,A,4
562,2024-03-14,A,4
563,2024-01-15,I,4
564,2024-02-28,A,6
565,2024-01-17,I,5
566,2024-02-02,I,6
567,2024-02-04,I,6
568,2024-03-09,I,4
569,2024-03-22,I,5
570,2024-03-19,A,6
571,2024-01-30,I,4
572,2024-03-31,A,4
573,2024-03-14,I,5
574,2024-02-26,I,6
575,2024-04-26,I,5
576,2024-01-06,I,5
577,2024-04-03,A,5
578,2024-02-28,I,6
579,2024-02-08,I,4
580,2024-04-10,A,5
581,2024-01-15,I,5
582,2024-01-20,A,6
583,2024-04-24,A,6
584,2024-03-22,A,4
585,2024-02-06,I,4
586,2024-01-10,A,5
587,2024-04-07,I,5
588,2024-01-24,A,6
589,2024-02-24,I,5
590,2024-01-19,C,6
591,2024-03-15,C,5
592,2024-04-27,A,6
593,2024-04-23,A,5
594,2024-02-20,I,5
595,2024-03-17,I,5
596,2024-02-02,C,4
597,2024-01-14,A,5
598,2024-01-09,I,5
599,2024-03-28,A,4
600,2024-02-14,I,4
601,2024-01-17,A,5
602,2024-02-03,A,6
603,2024-02-22,I,5
604,2024-02-11,I,6
605,2024-03-29,I,5
606,2024-04-22,I,6
607,2024-01-29,I,5
608,2024-04-01,A,4
609,2024-04-06,A,6
610,2024-05-02,A,5
611,2024-03-29,I,5
612,2024-01-14,I,4
613,2024-03-25,A,6
614,2024-03-24,I,6
615,2024-01-28,I,6
616,2024-03-15,I,4
617,2024-04-08,I,6
618,2024-03-05,A,6
619,2024-02-09,A,5
620,2024-04-30,I,5
621,2024-04-02,I,4
622,2024-02-06,A,6
623,2024-02-16,A,5
624,2024-04-12,I,4
625,2024-01-14,I,6
626,2024-02-07,A,4
627,2024-01-09,I,6
628,2024-02-28,I,5
629,2024-01-14,I,6
630,2024-05-02,A,6
631,2024-05-05,A,6
632,2024-04-08,A,6
633,2024-02-02,A,4
634,2024-03-28,A,6
635,2024-03-10,I,4
636,2024-02-27,A,6
637,2024-04-28,I,6
638,2024-05-03,A,4
639,2024-02-11,I,5
640,2024-01-24,I,5
641,2024-03-17,I,4
642,2024-04-30,I,6
643,2024-02-20,A,5
644,2024-02-02,A,6
645,2024-01-23,A,4
646,2024-01-17,I,4
647,2024-04-11,I,5
648,2024-01-13,I,5
649,2024-03-27,A,6
650,2024-01-25,C,5
651,2024-04-18,I,4
652,2024-04-02,A,4
653,2024-02-23,I,4
654,2024-02-05,I,6
655,2024-03-18,A,5
656,2024-04-26,A,6
657,2024-04-02,A,6
658,2024-04-01,I,5
659,2024-04-28,I,4
660,2024-04-13,I,5
661,2024-04-14,I,5
662,2024-02-17,I,5
663,2024-01-18,C,6
664,2024-03-01,I,5
665,2024-01-26,I,4
666,2024-03-04,I,5
667,2024-04-06,I,4
668,2024-02-06,I,4
669,2024-03-09,I,4
670,2024-04-09,A,6
671,2024-01-27,I,6
672,2024-03-12,I,6
673,2024-05-04,I,5
674,2024-04-25,A,6
675,2024-03-26,A,5
676,2024-04-23,A,4
677,2024-02-01,C,5
678,2024-02-22,A,4
679,2024-04-12,A,5
680,2024-01-28,I,6
681,2024-04-14,I,4
682,2024-05-02,C,5
683,2024-04-30,A,5
684,2024-01-03,I,6
685,2024-03-19,I,6
686,2024-02-16,C,6
687,2024-03-07,C,5
688,2024-01-08,A,6
689,2024-05-06,I,5
690,2024-02-23,I,6
691,2024-04-19,I,5
692,2024-02-16,I,4
693,2024-02-03,C,6
694,2024-01-11,I,4
695,2024-02-07,A,5
696,2024-04-26,I,4
697,2024-03-20,I,6
698,2024-01-18,A,6
699,2024-01-18,A,5
700,2024-04-11,A,6
701,2024-03-09,I,4
702,2024-04-20,A,6
703,2024-01-16,I,4
704,2024-03-15,I,6
705,2024-01-24,I,5
706,2024-03-17,I,6
707,2024-01-28,I,5
708,2024-04-26,A,6
709,2024-03-24,I,5
710,2024-03-02,I,4
711,2024-02-02,I,4
712,2024-03-13,I,4
713,2024-04-10,A,4
714,2024-04-04,I,5
715,2024-02-02,A,5
716,2024-02-26,I,4
717,2024-04-01,I,4
718,2024-03-29,I,4
719,2024-02-21,I,6
720,2024-03-02,I,4
721,2024-04-30,I,5
722,2024-03-11,A,5
723,2024-03-02,I,5
724,2024-01-21,I,6
725,2024-02-09,A,6
726,2024-02-02,I,6
727,2024-01-13,I,6
728,2024-02-17,I,5
729,2024-03-19,A,6
730,2024-03-23,I,6
731,2024-02-02,A,6
732,2024-01-06,A,4
733,2024-01-13,I,5
734,2024-03-26,A,6
735,2024-01-14,C,4
736,2024-02-04,I,5
737,2024-01-16,A,6
738,2024-01-11,A,5
739,2024-04-26,I,5
740,2024-03-10,A,4
741,2024-02-03,I,6
742,2024-02-10,A,5
743,2024-04-01,I,4
744,2024-03-10,C,5
745,2024-02-01,I,5
746,2024-03-17,I,4
747,2024-01-23,I,5
748,2024-05-06,I,4
749,2024-04-25,A,6
750,2024-03-20,I,5
751,2024-03-05,I,6
752,2024-02-07,I,6
753,2024-02-27,I,5
754,2024-02-01,I,4
755,2024-04-01,I,5
756,2024-03-03,A,5
757,2024-02-18,C,4
758,2024-02-28,A,4
759,2024-03-05,I,5
760,2024-04-24,A,4
761,2024-04-10,C,6
762,2024-01-14,A,4
763,2024-03-30,I,6
764,2024-03-29,A,6
765,2024-01-17,A,6
766,2024-01-13,I,4
767,2024-02-26,I,4
768,2024-04-09,I,5
769,2024-02-18,I,4
770,2024-04-19,I,4
771,2024-04-28,I,6
772,2024-01-17,I,4
773,2024-01-30,I,4
774,2024-03-15,I,6
775,2024-03-02,I,4
776,2024-01-28,I,6
777,2024-02-07,I,4
778,2024-03-06,I,4
779,2024-01-14,A,5
780,2024-04-27,C,4
781,2024-04-23,A,6
782,2024-01-15,I,4
783,2024-03-28,I,5
784,2024-04-24,A,4
785,2024-01-08,I,4
786,2024-01-15,A,6
787,2024-04-25,I,5
788,2024-02-04,A,4
789,2024-02-27,I,4
790,2024-03-09,I,6
791,2024-02-01,I,4
792,2024-04-27,I,4
793,2024-02-26,I,4
794,2024-01-10,I,5
795,2024-01-27,I,4
796,2024-01-03,A,6
797,2024-02-26,I,5
798,2024-04-12,A,4
799,2024-02-12,I,4
800,2024-02-27,A,5
801,2024-04-13,I,4
802,2024-04-05,I,4
803,2024-03-06,I,6
804,2024-01-25,I,5
805,2024-02-12,I,6
806,2024-01-31,A,4
807,2024-04-11,C,6
808,2024-01-12,C,4
809,2024-02-14,I,5
810,2024-01-11,A,5
811,2024-03-21,A,5
812,2024-03-06,I,6
813,2024-01-27,A,6
814,2024-01-12,I,4
815,2024-03-11,A,5
816,2024-01-17,C,6
817,2024-01-30,I,4
818,2024-01-14,A,6
819,2024-03-23,C,4
820,2024-04-02,I,6
821,2024-04-23,I,6
822,2024-02-04,I,6
823,2024-01-21,I,5
824,2024-03-17,I,5
825,2024-01-13,C,6
826,2024-03-22,I,4
827,2024-02-28,C,4
828,2024-03-15,A,5
829,2024-02-16,C,5
830,2024-02-03,I,5
831,2024-02-15,I,6
832,2024-02-04,I,4
833,2024-02-10,A,5
834,2024-02-23,C,6
835,2024-01-20,A,5
836,2024-03-29,A,4
837,2024-02-15,A,4
838,2024-03-02,A,5
839,2024-02-17,I,6
840,2024-04-10,A,4
841,2024-05-05,I,4
842,2024-01-09,A,4
843,2024-03-05,I,5
844,2024-03-25,A,6
845,2024-03-15,A,6
846,2024-01-21,A,6
847,2024-01-14,I,6
848,2024-03-13,A,6
849,2024-03-11,A,5
850,2024-02-08,I,5
851,2024-05-02,I,6
852,2024-04-27,I,6
853,2024-04-27,A,5
854,2024-02-08,I,5
855,2024-02-21,I,6
856,2024-01-28,I,6
857,2024-03-01,I,5
858,2024-04-23,I,4
859,2024-04-06,C,6
860,2024-03-27,I,4
861,2024-04-19,I,6
862,2024-03-30,I,6
863,2024-03-13,I,6
864,2024-01-07,C,6
865,2024-04-03,A,4
866,2024-03-17,A,5
867,2024-02-13,I,5
868,2024-05-02,A,4
869,2024-03-28,C,5
870,2024-01-18,A,5
871,2024-05-07,A,5
872,2024-04-26,A,5
873,2024-01-20,I,5
874,2024-05-01,I,6
875,2024-04-11,I,4
876,2024-03-17,I,5
877,2024-01-26,I,5
878,2024-03-20,I,5
879,2024-02-01,I,6
880,2024-04-06,I,5
881,2024-01-31,A,5
882,2024-04-03,I,4
883,2024-04-24,C,6
884,2024-03-11,I,5
885,2024-03-08,I,4
886,2024-02-08,I,4
887,2024-01-11,I,4
888,2024-03-29,I,4
889,2024-03-01,A,5
890,2024-02-13,I,4
891,2024-01-09,I,6
892,2024-01-08,I,6
893,2024-02-17,A,5
894,2024-04-12,I,4
895,2024-01-21,A,6
896,2024-03-29,C,4
897,2024-04-09,A,6
898,2024-03-05,A,6
899,2024-03-14,I,6
900,2024-04-05,I,5
901,2024-03-02,A,6
902,2024-01-09,I,4
903,2024-01-18,I,5
904,2024-01-12,A,5
905,2024-05-06,I,6
906,2024-04-28,C,5
907,2024-03-16,A,6
908,2024-02-20,I,4
909,2024-03-21,I,5
910,2024-03-19,C,6
911,2024-01-23,C,5
912,2024-01-23,I,5
913,2024-01-12,I,4
914,2024-05-03,I,6
915,2024-05-04,A,6
916,2024-04-16,I,4
917,2024-04-26,A,4
918,2024-04-30,I,6
919,2024-02-19,I,5
920,2024-02-02,I,4
921,2024-04-02,A,4
922,2024-01-19,I,5
923,2024-02-20,I,6
924,2024-04-12,I,5
