id,contrato_id,numero_parcela,valor,data_vencimento,paga,data_pagamento
2205,555,1,333.32,2024-01-20,True,2024-01-17
2206,555,2,691.88,2024-02-19,True,2024-02-18
2207,555,3,260.03,2024-03-20,True,2024-03-18
2208,555,4,962.23,2024-04-19,True,2024-04-15
2209,556,1,227.84,2024-02-13,True,2024-02-10
2210,556,2,489.72,2024-03-14,False,
2211,556,3,225.91,2024-04-13,True,2024-04-10
2212,556,4,497.61,2024-05-13,True,2024-05-08
2213,556,5,493.56,2024-06-12,True,2024-06-11
2214,556,6,220.73,2024-07-12,True,2024-07-07
2215,557,1,294.21,2024-02-04,True,2024-02-02
2216,557,2,997.09,2024-03-05,True,2024-03-08
2217,557,3,360.14,2024-04-04,True,2024-04-02
2218,557,4,918.94,2024-05-04,True,2024-05-01
2219,557,5,734.27,2024-06-03,True,2024-05-31
2220,558,1,913.07,2024-01-22,True,2024-01-20
2221,558,2,834.96,2024-02-21,True,2024-02-19
2222,558,3,833.65,2024-03-22,True,2024-03-19
2223,558,4,643.22,2024-04-21,True,2024-04-25
2224,558,5,303.82,2024-05-21,True,2024-05-17
2225,558,6,999.68,2024-06-20,True,2024-06-16
2226,559,1,858.67,2024-04-07,True,2024-04-12
2227,559,2,259.33,2024-05-07,True,2024-05-05
2228,559,3,902.37,2024-06-06,True,2024-06-04
2229,559,4,814.23,2024-07-06,True,2024-07-05
2230,559,5,865.11,2024-08-05,True,2024-08-03
2231,559,6,458.13,2024-09-04,True,2024-08-30
2232,560,1,915.94,2024-04-01,True,2024-03-27
2233,560,2,419.56,2024-05-01,True,2024-04-30
2234,560,3,602.06,2024-05-31,True,2024-06-01
2235,560,4,336.96,2024-06-30,True,2024-07-02
2236,561,1,874.02,2024-04-11,True,2024-04-11
2237,561,2,264.98,2024-05-11,False,
2238,561,3,816.82,2024-06-10,True,2024-06-05
2239,561,4,533.27,2024-07-10,True,2024-07-05
2240,562,1,431.74,2024-03-14,False,
2241,562,2,586.36,2024-04-13,True,2024-04-10
2242,562,3,562.84,2024-05-13,True,2024-05-09
2243,562,4,587.4,2024-06-12,True,2024-06-09
2244,563,1,889.19,2024-01-15,True,2024-01-17
2245,563,2,980.3,2024-02-14,True,2024-02-09
