id,pessoa_id,status,data_inicio_solicitacao
4678,103,R,2024-03-22
4679,436,A,2024-01-15
4680,349,N,2024-01-04
4681,271,R,2024-04-04
4682,107,A,2024-02-05
4683,72,A,2024-02-01
4684,189,R,2024-01-29
4685,21,A,2024-01-18
4686,103,A,2024-04-04
4687,122,C,2024-01-14
4688,215,A,2024-03-27
4689,331,A,2024-04-04
4690,88,R,2024-04-24
4691,373,A,2024-03-10
4692,100,A,2024-01-12
4693,360,C,2024-03-16
4694,152,A,2024-02-24
4695,131,C,2024-01-05
4696,150,C,2024-01-04
4697,309,A,2024-01-12
4698,258,A,2024-01-28
4699,344,A,2024-01-30
4700,414,A,2024-03-05
4701,294,A,2024-03-18
4702,386,R,2024-01-04
4703,192,A,2024-03-12
4704,444,A,2024-01-26
4705,277,N,2024-04-01
4706,161,A,2024-03-24
4707,314,N,2024-03-30
4708,22,A,2024-03-10
4709,253,A,2024-02-23
4710,236,R,2024-01-29
4711,345,R,2024-02-27
4712,49,N,2024-03-16
4713,59,R,2024-02-05
4714,170,N,2024-04-13
4715,188,A,2024-04-21
4716,271,A,2024-01-01
4717,190,R,2024-04-07
4718,446,N,2024-04-13
4719,175,C,2024-01-21
4720,446,A,2024-03-30
4721,51,A,2024-02-24
4722,364,R,2024-02-13
4723,55,A,2024-02-05
4724,244,C,2024-01-20
4725,320,N,2024-01-28
4726,131,A,2024-04-07
4727,307,R,2024-02-13
4728,135,R,2024-01-14
4729,21,A,2024-01-12
4730,329,C,2024-02-18
4731,167,A,2024-01-13
4732,274,N,2024-02-15
4733,388,A,2024-04-18
4734,89,N,2024-02-14
4735,316,A,2024-03-18
4736,14,A,2024-02-03
4737,242,C,2024-04-13
4738,265,A,2024-01-06
4739,346,A,2024-04-03
4740,53,C,2024-02-28
4741,386,C,2024-03-09
4742,340,A,2024-01-16
4743,92,R,2024-04-28
4744,367,A,2024-02-18
4745,444,A,2024-01-11
4746,428,A,2024-03-11
4747,264,R,2024-02-07
4748,431,R,2024-04-16
4749,35,R,2024-03-21
4750,206,R,2024-03-20
4751,81,A,2024-04-23
4752,420,A,2024-04-20
4753,50,A,2024-02-16
4754,360,A,2024-03-14
4755,388,A,2024-01-25
4756,2,N,2024-03-31
4757,390,A,2024-01-09
4758,54,A,2024-01-06
4759,106,A,2024-03-25
4760,260,R,2024-01-30
4761,310,R,2024-04-08
4762,191,A,2024-02-07
4763,402,A,2024-01-11
4764,218,R,2024-04-19
4765,44,A,2024-01-30
4766,162,N,2024-04-20
4767,202,R,2024-01-13
4768,446,A,2024-02-18
4769,270,A,2024-02-05
4770,351,C,2024-02-28
4771,304,A,2024-03-22
4772,271,A,2024-04-16
4773,215,N,2024-02-16
4774,252,C,2024-01-21
4775,190,C,2024-02-17
4776,296,R,2024-02-15
4777,213,A,2024-01-27
4778,208,A,2024-03-26
4779,237,R,2024-02-04
4780,338,A,2024-03-30
4781,367,A,2024-04-29
4782,53,C,2024-03-28
4783,280,A,2024-03-23
